Country Code,Series Code
AFW,SL.TLF.INTM.ZS
AFW,SL.TLF.TOTL.FE.ZS
AFW,SL.TLF.TOTL.IN
AFW,SL.UEM.1524.FE.NE.ZS
AFW,SL.UEM.1524.FE.ZS
AFW,SL.UEM.1524.MA.NE.ZS
AFW,SL.UEM.1524.MA.ZS
AFW,SL.UEM.1524.NE.ZS
AFW,SL.UEM.1524.ZS
AFW,SL.UEM.ADVN.FE.ZS
AFW,SL.UEM.ADVN.MA.ZS
AFW,SL.UEM.ADVN.ZS
AFW,SL.UEM.BASC.FE.ZS
AFW,SL.UEM.BASC.MA.ZS
AFW,SL.UEM.BASC.ZS
AFW,SL.UEM.INTM.FE.ZS
AFW,SL.UEM.INTM.MA.ZS
AFW,SL.UEM.INTM.ZS
AFW,SL.UEM.TOTL.FE.NE.ZS
AFW,SL.UEM.TOTL.FE.ZS
AFW,SL.UEM.TOTL.MA.NE.ZS
AFW,SL.UEM.TOTL.MA.ZS
AFW,SL.UEM.TOTL.NE.ZS
AFW,SL.UEM.TOTL.ZS
AFW,SP.DYN.LE00.FE.IN
AFW,SP.DYN.LE00.IN
AFW,SP.DYN.LE00.MA.IN
AFW,SP.DYN.TFRT.IN
AGO,AG.CON.FERT.ZS
AGO,BM.KLT.DINV.WD.GD.ZS
AGO,BX.KLT.DINV.WD.GD.ZS
AGO,DT.DOD.DSTC.IR.ZS
AGO,DT.DOD.DSTC.XP.ZS
AGO,DT.DOD.DSTC.ZS
AGO,DT.TDS.DECT.EX.ZS
AGO,DT.TDS.DECT.GN.ZS
AGO,EG.ELC.RNEW.ZS
AGO,EG.ELC.RNWX.KH
AGO,EG.ELC.RNWX.ZS
AGO,EG.FEC.RNEW.ZS
AGO,EG.GDP.PUSE.KO.PP
AGO,EG.GDP.PUSE.KO.PP.KD
AGO,EG.USE.COMM.GD.PP.KD
AGO,EG.USE.CRNW.ZS
AGO,EG.USE.ELEC.KH.PC
AGO,EG.USE.PCAP.KG.OE
AGO,EN.CLC.MDAT.ZS
AGO,EN.GHG.CO2.AG.MT.CE.AR5
AGO,EN.GHG.CO2.BU.MT.CE.AR5
AGO,EN.GHG.CO2.FE.MT.CE.AR5
AGO,EN.GHG.CO2.IC.MT.CE.AR5
AGO,EN.GHG.CO2.IP.MT.CE.AR5
AGO,EN.GHG.CO2.LU.DF.MT.CE.AR5
AGO,EN.GHG.CO2.LU.FL.MT.CE.AR5
AGO,EN.GHG.CO2.LU.MT.CE.AR5
AGO,EN.GHG.CO2.LU.OL.MT.CE.AR5
AGO,EN.GHG.CO2.MT.CE.AR5
AGO,EN.GHG.CO2.PC.CE.AR5
AGO,EN.GHG.CO2.PI.MT.CE.AR5
AGO,EN.GHG.CO2.RT.GDP.KD
AGO,EN.GHG.CO2.RT.GDP.PP.KD
AGO,EN.GHG.CO2.TR.MT.CE.AR5
AGO,EN.GHG.CO2.WA.MT.CE.AR5
AGO,EN.GHG.CO2.ZG.AR5
AGO,ER.H2O.INTR.K3
AGO,ER.H2O.INTR.PC
AGO,FI.RES.TOTL.DT.ZS
AGO,FP.CPI.TOTL.ZG
AGO,GC.DOD.TOTL.CN
AGO,GC.DOD.TOTL.GD.ZS
AGO,IT.MLT.MAIN.P2
AGO,IT.NET.BBND.P2
AGO,MS.MIL.TOTL.TF.ZS
AGO,NE.CON.GOVT.ZS
AGO,NE.CON.TOTL.ZS
AGO,NE.DAB.TOTL.ZS
AGO,NE.GDI.FPRV.ZS
AGO,NE.GDI.FTOT.ZS
AGO,NE.GDI.TOTL.ZS
AGO,NY.ADJ.DCO2.CD
